gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
KIF11,-0.3536084421317205,0.0016947265710780884,0.0050391269967780825,25,1181,0.20576797113300632,0.2559676662301071,-2.820655965581977,10.132449422086381
SASS6,0.23916144639083026,0.0017901847915202157,0.00041031181481749566,25,1181,0.20576797113300632,0.1382421244606178,-0.9117193126257694,7.8769743017721385
TEDC2,0.1814714855307911,0.0016865018483609529,0.0009949104045351917,25,1181,0.20576797113300632,0.1662081822058303,-0.3828708850627211,7.355817558196523
CTU2,0.16654247968949276,0.0017771949520080591,0.0040066476273474165,25,1181,0.20576797113300632,0.24194771785468575,-0.7258995150426777,8.270441152740545
PRRC2A,-0.15823080632120856,0.0017827349923598289,0.0014758712061505594,25,1181,0.20576797113300632,0.18377671248253943,-0.5172345100133428,13.05339548465995
CD101,0.1057983873803054,0.0017425568097856343,0.0017100926927050251,25,1181,0.20576797113300632,0.19361794583220276,-0.17833180478119992,5.669097606369634
TTC8,0.06470949976100386,0.0017672226986951195,0.0028144240060256707,25,1181,0.20576797113300632,0.2273217876218302,0.05870433065727317,8.064640539376459
PSRC1,0.0744576806475222,0.0016311132552059445,0.030339696666856857,25,1181,0.20576797113300632,0.41147406539650405,-0.22013824140400204,8.602586693515633
R3HDML,-0.05726955552564015,0.0017781500636176806,0.003365864329029359,25,1181,0.20576797113300632,0.23121851223285197,-0.03487385401370201,0.0
RIMOC1,-0.07395299695537551,0.0017403743605919069,0.002337659954280355,25,1181,0.20576797113300632,0.22592354908258516,0.08060809122136812,9.798602403260084
BYSL,0.14263859053354455,0.0016533210456185058,0.003933566398470759,25,1181,0.20576797113300632,0.24194771785468575,-1.3639368709939665,9.746289919005175
STK11IP,-0.09348491488056408,0.0016360793715492446,0.00114393551229961,25,1181,0.20576797113300632,0.1723689720255824,0.09388750965654338,8.73940834269526
TEX46,-0.0869810582002844,0.0018064019433162715,0.0004822622952964348,25,1181,0.20630951111849724,0.14807181063867333,-0.06381946975047417,
AKR1D1,-0.08652045267024819,0.001841402505534009,0.0012434954392283666,25,1181,0.2086950030793071,0.17556784819530585,-0.07036692472059175,0.4465192879165292
PCSK7,-0.09640675466570134,0.0018505663649327885,0.0010980917737997847,25,1181,0.2086950030793071,0.17136150338478184,-0.0360207068687889,9.529216149990077
TRIM67,0.11494348429114766,0.001867052771390167,0.0002737274727472412,25,1181,0.20923827027373176,0.11971237350806783,-0.0005606359877356402,2.044516394846604
ACTMAP,-0.06990285165382482,0.001890554518752544,0.004471621380918171,25,1181,0.2103217579584747,0.2491426566810734,0.12084864361841345,7.888918747551292
ZBED2,-0.07684769425567965,0.001900179844362997,0.0017168732021259406,25,1181,0.2103217579584747,0.19361794583220276,0.09487623199317598,4.718745934236152
PPFIA3,-0.04320390048061157,0.0019362277154734333,0.006295379253802229,25,1181,0.2124203799051814,0.2678323326422035,0.009947527639403828,7.854292681972771
NOP10,0.17603769491091026,0.0019428332108889495,0.0012234621435637239,25,1181,0.2124203799051814,0.17556784819530585,-0.9926506156297208,9.937901749369598
NAT16,0.0843132119467465,0.001963940643248239,0.005620716603855051,25,1181,0.21342678590354044,0.2678323326422035,-0.058949082098219426,0.7300969997662492
GPR148,-0.08368682362180564,0.0020105990314178606,0.001337449085360099,25,1181,0.21718103152020274,0.17669286988403096,0.008778728112429624,0.0
QRFPR,-0.06116924692707491,0.0020807901459722524,0.005167574209909746,25,1181,0.22212792654405566,0.25882618200528396,-0.0202584112603319,1.8819189781936174
CPN1,0.06992375514604939,0.0020935597337541356,0.00290659829386076,25,1181,0.22212792654405566,0.2285046405712853,-0.02023767984429828,0.0
MAMLD1,0.09239365771200282,0.0020923456815006027,0.0007429940505902335,25,1181,0.22212792654405566,0.16535959242124867,0.06905384779058882,7.881950863605368
POLR3A,-0.3211048467532809,0.00213529965320924,0.0005856077919408968,25,1181,0.2252238710687934,0.15142108037396032,-2.550794608889345,9.116244329471767
SPP1,0.06388626356563726,0.0021564594355111427,0.003193895991254188,25,1181,0.2261255797552649,0.23121851223285197,0.07782055490313053,12.124874609034503
ZNF280D,0.07184551666911583,0.0022003554480478317,0.0012234621435637239,25,1181,0.22806111872222928,0.17556784819530585,-0.0029143637181239645,8.943872935639838
SORBS1,-0.05983666057181272,0.0021998239134521395,0.0014121657734327163,25,1181,0.22806111872222928,0.17867933136892986,0.10827035302699849,9.472591045238039
DHRS9,0.05832725092854181,0.0022637803805092413,0.002803757300239299,25,1181,0.22980854016332025,0.2273217876218302,0.11999173576681177,4.17228592562034
TOMM40,0.19165446008725073,0.002288619776694078,0.005630735852033364,25,1181,0.22980854016332025,0.2678323326422035,-1.4901628271629714,10.680477822919006
RBM6,-0.10977830336901204,0.002303462414937426,0.0008914524296070237,25,1181,0.22980854016332025,0.1662081822058303,-0.12235055559095918,10.081071055617326
ALG2,0.332896523323545,0.002294694212638329,0.00023574172762852384,25,1181,0.22980854016332025,0.11741902550297391,-1.5917554041192306,9.480539527054821
GTF2A2,0.20563480784292354,0.002306928628040692,0.0060556565010396,25,1181,0.22980854016332025,0.2678323326422035,-1.4311977276035717,9.535858113951544
NHP2,0.12591519057440725,0.0022478238684889955,0.003812101793181766,25,1181,0.22980854016332025,0.24171429096927888,-0.8010752760784352,10.603909059945298
POP4,0.18498783026272703,0.002256615296963266,0.004504293082558489,25,1181,0.22980854016332025,0.2492792569856675,-0.8114741407714929,9.442307844396147
